year,unemployment,fips
2019,3.8,21101
2019,3.7,21103
2019,4.8,21105
2019,4.6,21107
2019,6.5,21109
2019,4,21111
2019,3.6,21113
2019,6.6,21115
2019,3.6,21117
2019,6.9,21119
2019,6,21121
2019,4.5,21123
2019,4.9,21125
2019,7.1,21127
2019,5.7,21129
2019,8.2,21131
2019,7.4,21133
2019,8.9,21135
2019,5,21137
2019,5.7,21139
2019,4,21141
2019,4.7,21143
2019,4.9,21145
2019,6,21147
2019,4.4,21149
2019,3.9,21151
2019,11,21153
2019,3.9,21155
2019,4.7,21157
2019,6.9,21159
2019,5.8,21161
2019,4.6,21163
2019,6.9,21165
2019,4.6,21167
2019,4.8,21169
2019,3.9,21171
2019,5.3,21173
2019,5.4,21175
2019,6.2,21177
2019,4.5,21179
2019,4.4,21181
2019,5.1,21183
2019,3.3,21185
2019,4.6,21187
2019,7,21189
2019,3.8,21191
2019,6.1,21193
2019,5.8,21195
2019,5.4,21197
2019,4.7,21199
2019,5.4,21201
2019,4.8,21203
2019,5.3,21205
2019,5.7,21207
2019,3.5,21209
2019,3.4,21211
2019,4.5,21213
2019,3.6,21215
2019,4.3,21217
2019,3.9,21219
2019,4.7,21221
2019,4.4,21223
2019,4.5,21225
2019,3.9,21227
2019,3.9,21229
2019,5.8,21231
2019,4,21233
2019,5.2,21235
2019,7.1,21237
2019,3.1,21239
2019,5.3,22001
2019,5.7,22003
2019,4.1,22005
2019,6.1,22007
2019,5.8,22009
2019,5.2,22011
2019,5.9,22013
2019,4.3,22015
2019,5.4,22017
2019,4.1,22019
2019,6.1,22021
2019,3.8,22023
2019,6.4,22025
2019,5.7,22027
2019,6.5,22029
2019,6,22031
2019,4.4,22033
2019,10.6,22035
2019,4.6,22037
2019,5.9,22039
2019,7.2,22041
2019,5.8,22043
2019,5.4,22045
2019,5.9,22047
2019,4.7,22049
2019,4.2,22051
2019,4.7,22053
2019,4.3,22055
2019,4.5,22057
2019,4.3,22059
2019,5.4,22061
2019,4.1,22063
2019,8.1,22065
2019,8.3,22067
2019,6,22069
2019,4.9,22071
2019,5.3,22073
2019,4.3,22075
2019,5.4,22077
2019,5.1,22079
2019,5.1,22081
2019,6.3,22083
2019,5.1,22085
2019,4.9,22087
2019,4.3,22089
2019,6.1,22091
2019,6,22093
2019,5.6,22095
2019,6.3,22097
2019,5.1,22099
2019,5.9,22101
2019,4.2,22103
2019,5.5,22105
2019,8.3,22107
2019,4.6,22109
2019,5.8,22111
2019,5.1,22113
2019,6.2,22115
2019,5.9,22117
2019,6.1,22119
2019,4.5,22121
2019,10.7,22123
2019,4.1,22125
2019,6.3,22127
2019,3,23001
2019,4.6,23003
2019,2.4,23005
2019,3.8,23007
2019,3.5,23009
2019,2.9,23011
2019,2.9,23013
2019,3,23015
2019,3.6,23017
2019,3.2,23019
2019,3.7,23021
2019,2.3,23023
2019,4.5,23025
2019,3.2,23027
2019,4.6,23029
2019,2.7,23031
2019,5.2,24001
2019,3.1,24003
2019,3.7,24005
2019,3.2,24009
2019,3.6,24011
2019,2.9,24013
2019,4,24015
2019,3.6,24017
2019,4.8,24019
2019,3.2,24021
2019,4.4,24023
2019,3.3,24025
2019,2.7,24027
2019,4,24029
2019,2.9,24031
2019,3.8,24033
2019,3.1,24035
2019,3.3,24037
2019,6.1,24039
2019,3.4,24041
2019,3.9,24043
2019,4.6,24045
2019,7.4,24047
2019,5.1,24510
2019,3.9,25001
2019,3.5,25003
2019,3.7,25005
2019,4.1,25007
2019,3,25009
2019,2.7,25011
2019,4.1,25013
2019,2.7,25015
2019,2.3,25017
2019,4.2,25019
2019,2.5,25021
2019,3,25023
2019,2.6,25025
2019,3.1,25027
2019,6.3,26001
2019,7.8,26003
2019,3.1,26005
2019,4.7,26007
2019,5.1,26009
2019,6.6,26011
2019,6.3,26013
2019,3.2,26015
2019,4.7,26017
2019,5.1,26019
2019,4,26021
2019,3.9,26023
2019,4.1,26025
2019,4.3,26027
2019,4.6,26029
2019,8.7,26031
2019,6.3,26033
2019,6.1,26035
2019,3,26037
2019,5.6,26039
2019,5.2,26041
2019,4.2,26043
2019,3.4,26045
2019,5.4,26047
2019,4.9,26049
2019,5.7,26051
2019,5.2,26053
2019,3.4,26055
2019,4.4,26057
2019,4.2,26059
2019,4.9,26061
2019,4.4,26063
2019,3.5,26065
2019,3.4,26067
2019,6,26069
2019,5.5,26071
2019,3.8,26073
2019,3.8,26075
2019,3.3,26077
2019,5.6,26079
2019,2.9,26081
2019,6.9,26083
2019,6.4,26085
2019,5.4,26087
2019,3.7,26089
2019,3.9,26091
2019,3.3,26093
2019,6.2,26095
2019,9.3,26097
2019,4.2,26099
2019,5.5,26101
2019,4.8,26103
2019,4.9,26105
2019,4.7,26107
2019,4,26109
2019,3.7,26111
2019,4.8,26113
2019,3.9,26115
2019,4.1,26117
2019,8.3,26119
2019,4.3,26121
2019,4.2,26123
2019,3.4,26125
2019,5.9,26127
2019,6.7,26129
2019,6.8,26131
2019,4,26133
2019,6.9,26135
2019,4.9,26137
2019,2.8,26139
2019,7.6,26141
2019,7.5,26143
2019,4.8,26145
2019,4.9,26147
2019,4.3,26149
2019,4.7,26151
2019,7,26153
2019,4.3,26155
2019,5.1,26157
2019,4.6,26159
2019,2.9,26161
2019,5.1,26163
2019,4.5,26165
2019,6.2,27001
2019,3.1,27003
2019,4,27005
2019,4.3,27007
2019,3.9,27009
2019,4.2,27011
2019,2.8,27013
2019,3.6,27015
2019,4.5,27017
2019,2.8,27019
2019,5.5,27021
2019,3.9,27023
2019,3.8,27025
2019,3,27027
2019,8.2,27029
2019,4.3,27031
2019,3.7,27033
2019,4.3,27035
2019,2.9,27037
2019,3.4,27039
2019,3.2,27041
2019,4.2,27043
2019,3.3,27045
2019,3.4,27047
2019,3,27049
2019,4.5,27051
2019,2.8,27053
2019,3.2,27055
2019,5.4,27057
2019,4.1,27059
2019,6,27061
2019,3.4,27063
2019,5.9,27065
2019,3.5,27067
2019,3.6,27069
2019,6.4,27071
2019,3.7,27073
2019,3.6,27075
2019,4.1,27077
2019,4.5,27079
2019,3.8,27081
2019,3.2,27083
2019,3.7,27085
2019,4.7,27087
2019,5.9,27089
2019,3.8,27091
2019,3.9,27093
2019,5.4,27095
2019,5.2,27097
2019,3,27099
2019,4.3,27101
2019,2.5,27103
2019,3,27105
2019,4.8,27107
2019,2.6,27109
2019,4.2,27111
2019,4.6,27113
2019,5.5,27115
2019,3.5,27117
2019,4,27119
2019,3.1,27121
2019,3,27123
2019,5.3,27125
2019,3.7,27127
2019,4.5,27129
2019,3.1,27131
2019,2.3,27133
2019,3.9,27135
2019,4,27137
2019,2.7,27139
2019,3.5,27141
2019,3.8,27143
2019,3.2,27145
2019,3.2,27147
2019,2.7,27149
2019,4.4,27151
2019,4.4,27153
2019,3.7,27155
2019,3.3,27157
2019,6.2,27159
2019,3.9,27161
2019,2.8,27163
2019,4,27165
2019,3.4,27167
2019,2.9,27169
2019,3.3,27171
2019,3.8,27173
2019,7.1,28001
2019,4.7,28003
2019,7,28005
2019,6.2,28007
2019,6.1,28009
2019,7,28011
2019,5.5,28013
2019,6.3,28015
2019,5.6,28017
2019,5.5,28019
2019,10.7,28021
2019,6.2,28023
2019,7.5,28025
2019,7.7,28027
2019,6.6,28029
2019,4.9,28031
2019,4.4,28033
2019,5.1,28035
2019,6.8,28037
2019,7.4,28039
2019,7.8,28041
2019,5.1,28043
